ciudad,contaminante,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,valor
CDMX,CO,2019-01-01,2019,1,1,Tuesday,1,Invierno,0.6436507936507937
CDMX,CO,2019-01-02,2019,1,2,Wednesday,1,Invierno,0.5335758377425044
CDMX,CO,2019-01-03,2019,1,3,Thursday,1,Invierno,0.7133559727309727
CDMX,CO,2019-01-04,2019,1,4,Friday,1,Invierno,0.6549306403473071
CDMX,CO,2019-01-05,2019,1,5,Saturday,1,Invierno,0.5471671075837743
CDMX,CO,2019-01-06,2019,1,6,Sunday,1,Invierno,0.5364776234567902
CDMX,CO,2019-01-07,2019,1,0,Monday,2,Invierno,0.6036344167296549
CDMX,CO,2019-01-08,2019,1,1,Tuesday,2,Invierno,0.5223027743861077
CDMX,CO,2019-01-09,2019,1,2,Wednesday,2,Invierno,0.4485603038936372
CDMX,CO,2019-01-10,2019,1,3,Thursday,2,Invierno,0.32377136752136754
CDMX,CO,2019-01-11,2019,1,4,Friday,2,Invierno,0.4595759734093068
CDMX,CO,2019-01-12,2019,1,5,Saturday,2,Invierno,0.4516263057929724
CDMX,CO,2019-01-13,2019,1,6,Sunday,2,Invierno,0.2152014652014652
CDMX,CO,2019-01-14,2019,1,0,Monday,3,Invierno,0.29012179487179485
CDMX,CO,2019-01-15,2019,1,1,Tuesday,3,Invierno,0.514717925492382
CDMX,CO,2019-01-16,2019,1,2,Wednesday,3,Invierno,0.4600011870845204
CDMX,CO,2019-01-17,2019,1,3,Thursday,3,Invierno,0.5190705128205128
CDMX,CO,2019-01-18,2019,1,4,Friday,3,Invierno,0.4783917972459639
CDMX,CO,2019-01-19,2019,1,5,Saturday,3,Invierno,0.45540123456790127
CDMX,CO,2019-01-20,2019,1,6,Sunday,3,Invierno,0.30783475783475783
CDMX,CO,2019-01-21,2019,1,0,Monday,4,Invierno,0.705849358974359
CDMX,CO,2019-01-22,2019,1,1,Tuesday,4,Invierno,0.5991728395061728
CDMX,CO,2019-01-23,2019,1,2,Wednesday,4,Invierno,0.5339648622981956
CDMX,CO,2019-01-24,2019,1,3,Thursday,4,Invierno,0.5586982250505801
CDMX,CO,2019-01-25,2019,1,4,Friday,4,Invierno,0.5647825939492607
CDMX,CO,2019-01-26,2019,1,5,Saturday,4,Invierno,0.4216650047483381
CDMX,CO,2019-01-27,2019,1,6,Sunday,4,Invierno,0.26188271604938274
CDMX,CO,2019-01-28,2019,1,0,Monday,5,Invierno,0.4997344491927825
CDMX,CO,2019-01-29,2019,1,1,Tuesday,5,Invierno,0.5574370845204178
CDMX,CO,2019-01-30,2019,1,2,Wednesday,5,Invierno,0.3946448602055486
CDMX,CO,2019-01-31,2019,1,3,Thursday,5,Invierno,0.5543199023199024
CDMX,CO,2019-02-01,2019,2,4,Friday,5,Invierno,0.6159444444444445
CDMX,CO,2019-02-02,2019,2,5,Saturday,5,Invierno,0.5597442680776014
CDMX,CO,2019-02-03,2019,2,6,Sunday,5,Invierno,0.4973990978157645
CDMX,CO,2019-02-04,2019,2,0,Monday,6,Invierno,0.4267628205128205
CDMX,CO,2019-02-05,2019,2,1,Tuesday,6,Invierno,0.6002928743961352
CDMX,CO,2019-02-06,2019,2,2,Wednesday,6,Invierno,0.651907932647063
CDMX,CO,2019-02-07,2019,2,3,Thursday,6,Invierno,0.5128604840208101
CDMX,CO,2019-02-08,2019,2,4,Friday,6,Invierno,0.214420405982906
CDMX,CO,2019-02-09,2019,2,5,Saturday,6,Invierno,0.29575
CDMX,CO,2019-02-10,2019,2,6,Sunday,6,Invierno,0.36531642512077295
CDMX,CO,2019-02-11,2019,2,0,Monday,7,Invierno,0.48473665223665224
CDMX,CO,2019-02-12,2019,2,1,Tuesday,7,Invierno,0.4393004676482937
CDMX,CO,2019-02-13,2019,2,2,Wednesday,7,Invierno,0.41086132617382615
CDMX,CO,2019-02-14,2019,2,3,Thursday,7,Invierno,0.5769883407655146
CDMX,CO,2019-02-15,2019,2,4,Friday,7,Invierno,0.5847198996655518
CDMX,CO,2019-02-16,2019,2,5,Saturday,7,Invierno,0.46926923076923077
CDMX,CO,2019-02-17,2019,2,6,Sunday,7,Invierno,0.3489188034188034
CDMX,CO,2019-02-18,2019,2,0,Monday,8,Invierno,0.5523464023898806
CDMX,CO,2019-02-19,2019,2,1,Tuesday,8,Invierno,0.4123472222222222
CDMX,CO,2019-02-20,2019,2,2,Wednesday,8,Invierno,0.47101923076923075
CDMX,CO,2019-02-21,2019,2,3,Thursday,8,Invierno,0.30098339160839166
CDMX,CO,2019-02-22,2019,2,4,Friday,8,Invierno,0.4611769943019943
CDMX,CO,2019-02-23,2019,2,5,Saturday,8,Invierno,0.39560778727445395
CDMX,CO,2019-02-24,2019,2,6,Sunday,8,Invierno,0.2589200922534256
CDMX,CO,2019-02-25,2019,2,0,Monday,9,Invierno,0.4837310066476734
CDMX,CO,2019-02-26,2019,2,1,Tuesday,9,Invierno,0.49905626780626783
CDMX,CO,2019-02-27,2019,2,2,Wednesday,9,Invierno,0.45129487179487177
