"Parámetro","Fecha","Hora","ATM : Atemajac","CEN : Centro ","AGU : Las Águilas","PIN : Las Pintas","LDO : Loma Dorada","MIR : Miravalle","OBL : Oblatos","SFE : Santa Fe","TLA : Tlaquepaque","VAL : Vallarta","COU : Country","SMT : Santa Margarita","SAN : Santa Anita","Unidad"
"CO","2023-01-01","0"," - - - - ","3.28"," - - - - ","3.08","2.37","2.47"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","1"," - - - - ","3.7"," - - - - ","4.82","2.12","2.91"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","2"," - - - - ","4.2"," - - - - ","5.42","1.85","3.21"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","3"," - - - - ","5.24"," - - - - ","5.62","1.82","2.97"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","4"," - - - - ","4.87"," - - - - ","6.99","1.82","2.62"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","5"," - - - - ","4.51"," - - - - ","5.6","1.29","1.54"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","6"," - - - - ","5.53"," - - - - ","4.92","1.07","3.67"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","7"," - - - - ","6.53"," - - - - ","4.73","0.92","5.32"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","8"," - - - - ","4.09"," - - - - ","4.93","2.39","1.24"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","9"," - - - - ","3.34"," - - - - ","3.93","0.36","0.01"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","10"," - - - - ","1.2"," - - - - ","2.12","0.03","0.64"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","11"," - - - - ","0.6"," - - - - ","1.22","0.46","0.58"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","12"," - - - - ","0.64"," - - - - ","0.91","0.5","0.55"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","13"," - - - - ","0.69"," - - - - ","0.65","0.64","0.41"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","14"," - - - - ","0.52"," - - - - ","0.58","0.55","0.18"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","15"," - - - - ","0.41"," - - - - ","0.48","0.45","0.21"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","16"," - - - - ","0.4"," - - - - ","0.52","0.34","0.24"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","17"," - - - - ","0.41"," - - - - ","0.59","0.45","0.26"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","18"," - - - - ","0.52"," - - - - ","0.72","0.49","0.29"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","19"," - - - - ","0.8"," - - - - ","1.47","0.64","0.51"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","20"," - - - - ","0.82"," - - - - ","1.08","0.85","0.26"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","21"," - - - - ","0.54"," - - - - ","0.62","0.53","0.27"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","22"," - - - - ","0.6"," - - - - ","0.63","0.35","0.28"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-01","23"," - - - - ","0.74"," - - - - ","0.75","0.53","0.22"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-02","0"," - - - - ","0.54"," - - - - ","0.55","0.41","0.17"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-02","1"," - - - - ","0.5"," - - - - ","0.46","0.41","0.16"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"CO","2023-01-02","2"," - - - - ","0.6"," - - - - ","0.43","0.39","0.2"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
