"Parámetro","Fecha","Hora","ATM : Atemajac","CEN : Centro ","AGU : Las Águilas","PIN : Las Pintas","LDO : Loma Dorada","MIR : Miravalle","OBL : Oblatos","SFE : Santa Fe","TLA : Tlaquepaque","VAL : Vallarta","COU : Country","SMT : Santa Margarita","SAN : Santa Anita","Unidad"
"PM2.5","2022-01-01","0"," - - - - ","16"," - - - - "," - - - - "," - - - - ","52"," - - - - ","23"," - - - - ","20"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","1"," - - - - ","19"," - - - - "," - - - - "," - - - - ","64"," - - - - ","18"," - - - - ","20"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","2"," - - - - ","14"," - - - - "," - - - - "," - - - - ","131"," - - - - ","41"," - - - - ","19"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","3"," - - - - ","14"," - - - - "," - - - - "," - - - - ","147"," - - - - ","96"," - - - - ","12"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","4"," - - - - ","11"," - - - - "," - - - - "," - - - - ","110"," - - - - ","100"," - - - - ","14"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","5"," - - - - ","21"," - - - - "," - - - - "," - - - - ","244"," - - - - ","116"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","6"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","280"," - - - - ","66"," - - - - ","30"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","7"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","193"," - - - - ","90"," - - - - ","42"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","8"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","159"," - - - - ","84"," - - - - ","56"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","9"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","107"," - - - - "," - - - - "," - - - - ","44"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","10"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","70"," - - - - "," - - - - "," - - - - ","46"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","11"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","45"," - - - - "," - - - - "," - - - - ","40"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","12"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","31"," - - - - "," - - - - "," - - - - ","29"," - - - - "," - - - - "," - - - - ","µg/m³"
