"Parámetro","Fecha","Hora","SO : Santa Catarina","NO : San Bernabé","CE : Obispado","NE : San Nicolás","SE : ITNL","N : Escobedo","NO2 : García","NE2 : Apodaca","SE2 : Juárez","SO2 : San Pedro","SE3 : Cadereyta","N2 : UANL","SUR : Preparatoria ITESM Eugenio Garza Lagüera","NE3 : Pesquería","NO3 : Misión San Juan","Unidad"
"O3","2020-01-01","0"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","1"," - - - - "," - - - - ","0.019"," - - - - ","0.019"," - - - - ","0.024"," - - - - "," - - - - ","0.008","0.025"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","2"," - - - - "," - - - - ","0.018"," - - - - ","0.019"," - - - - ","0.02"," - - - - "," - - - - ","0.01","0.022"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","3"," - - - - "," - - - - ","0.014"," - - - - ","0.019"," - - - - ","0.02"," - - - - "," - - - - ","0.007","0.021"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","4"," - - - - "," - - - - ","0.005"," - - - - ","0.016"," - - - - ","0.02"," - - - - "," - - - - ","0.003","0.022"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","5"," - - - - "," - - - - ","0.003"," - - - - ","0.013"," - - - - ","0.017"," - - - - "," - - - - ","0.003","0.024"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","6"," - - - - "," - - - - ","0.004"," - - - - ","0.015"," - - - - ","0.011"," - - - - "," - - - - ","0.003","0.024"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","7"," - - - - "," - - - - ","0.005"," - - - - ","0.01"," - - - - ","0.01"," - - - - "," - - - - "," - - - - ","0.021"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","8"," - - - - "," - - - - ","0.004"," - - - - ","0.012"," - - - - ","0.02"," - - - - "," - - - - ","0.002","0.02"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","9"," - - - - "," - - - - ","0.006"," - - - - ","0.007"," - - - - ","0.022"," - - - - "," - - - - ","0.003","0.018"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
"O3","2020-01-01","10"," - - - - "," - - - - ","0.008"," - - - - ","0.008"," - - - - ","0.022"," - - - - "," - - - - ","0.004","0.015"," - - - - "," - - - - "," - - - - "," - - - - ","ppm"
