"Parámetro","Fecha","Hora","SO : Santa Catarina","NO : San Bernabé","CE : Obispado","NE : San Nicolás","SE : ITNL","N : Escobedo","NO2 : García","NE2 : Apodaca","SE2 : Juárez","SO2 : San Pedro","SE3 : Cadereyta","N2 : UANL","SUR : Preparatoria ITESM Eugenio Garza Lagüera","NE3 : Pesquería","NO3 : Misión San Juan","Unidad"
"PM2.5","2022-01-01","0"," - - - - ","390","91","407","111","112","223","137"," - - - - ","53","83","259","83"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","1","225","326","113","345","112","157","114","113","364","49","122","370","80"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","2","181","365","92","292","139","162","144","141"," - - - - ","39","153","266","93"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","3","140","257","69","230","178","163","219","168"," - - - - ","35"," - - - - ","290","58"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","4","91","161","68","200","134","171","72","139"," - - - - ","35","192","306","67"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","5","78","145","50","147","93","87","8","89"," - - - - ","27","174","219","52"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","6","49","138","39","136","48","69","7","56"," - - - - ","22","134","111","20"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","7","31","32","26","123","26","26","5","55"," - - - - ","13","132","35","19"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","8","13"," - - - - ","17","100","19","11","6","39","124","7","107","10","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","9","7"," - - - - ","10","21","19","14","5","8"," - - - - ","7","86","11","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","10","11"," - - - - ","10","7","13","7","7","2"," - - - - "," - - - - ","68","9","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","11","23"," - - - - ","16","7","8","9","7"," - - - - ","58","3","37","16","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","12","14"," - - - - ","9","8","8","10","6","4","13","7"," - - - - ","22","20"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","13","11"," - - - - ","8","6","6","7","10"," - - - - ","10","7"," - - - - ","20","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","14","9"," - - - - ","7","8","6","9","7","2","12","8"," - - - - ","14","23"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","15","8"," - - - - ","7","8","7","8","6","4","12","5"," - - - - ","11","21"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","16","6"," - - - - ","6","5","7","9","5","5"," - - - - ","5"," - - - - ","11","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","17","7"," - - - - ","5","5","8","4","5","4","19","3"," - - - - ","6","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","18","12"," - - - - ","10","8","9"," - - - - ","5","6","26"," - - - - "," - - - - ","20","25"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","19","17","8","10","14","11","8","6","8"," - - - - ","2","21","2","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","20","19","23","10","22","16","7","11","17","161","8","37"," - - - - ","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","21"," - - - - ","24","8","49","17","20","13","11","156","5","33","14","16"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","22","49","29","8","61","14","49","15","22","156","11","50","8","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-01","23","41","46","12","58","14","47","22","30","172","9","34","10","14"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","0","36","57","11","68","17","64","19","34","162","11","18","16","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","1","23","57","14","51","11","68","11","45","176","7","29","27"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","2","14","28","9","43","11","55","8","37","71","7","31","16","21"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","3","11","15","9","43","6","41","6","30","50","5","25","9","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","4","9"," - - - - ","15","22","11","37","5","17","49","7","21","7"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","5","20"," - - - - ","18","12","13","33"," - - - - ","18","106","12","13","13","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","6","15"," - - - - ","12","18","11","11","19","23","63","8","11","5","20"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","7","10"," - - - - ","13","18","15","11","10","23","41","9","13","6","26"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","8","14"," - - - - ","18","14","13","14","12","16","25","11","9"," - - - - ","32"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","9","17"," - - - - ","17","10","10","12","12","14","18","10","8","2","19"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","10","16"," - - - - ","16","10","8","10","11","11","18","11","9"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","11","14"," - - - - ","14","10","9","10","11","9"," - - - - ","13","8"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","12","15"," - - - - ","13","8","8","8","11","11","15","7","7","4","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","13","14"," - - - - ","12","8","8","7","12","12","16","9","5","6","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","14","14"," - - - - ","11","7","7","7","11","5","15","4","6","10"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","15","13"," - - - - ","10"," - - - - ","7","6","10","8","13","8","7","8","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","16","12"," - - - - ","9"," - - - - ","6","6","10","8","12","7","8","10","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","17","13"," - - - - ","9"," - - - - ","7","7","10","9","14","5","7","3","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","18","12"," - - - - ","9"," - - - - ","7","7","11","12","18","9","6","9","26"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","19","13"," - - - - ","10"," - - - - ","7","7","12","11","23","7","6","3","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","20","14"," - - - - ","9"," - - - - ","8","5","10","13","20","8","8"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","21","11","8","8"," - - - - ","7","4","10","6"," - - - - ","8","13"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","22","13","5","8"," - - - - ","6","3","9","5"," - - - - "," - - - - ","10"," - - - - ","17"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-02","23","12","7","8"," - - - - ","6","4","8","6"," - - - - ","9","3"," - - - - ","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","0","10","5","8"," - - - - ","6","4","7","2"," - - - - ","5","5","3","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","1","9","8","6","5","5","4","7","6"," - - - - ","7","7","2","22"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","2","7","8","6","7","7","4","6","4"," - - - - ","7","8","3","17"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","3","6","6","5","8","7","5","6","5"," - - - - ","3","3","6","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","4","6","9","4","10","8","6","12","5"," - - - - ","4","10","4","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","5","11","9","4","8","12","11","9","7"," - - - - ","2","8","3"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","6","16","13","4","5","12","13","11","13"," - - - - ","4","11","10"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","7","16","20","5","18","11","8","15","12"," - - - - ","8","8","8","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","8","38","22","6","17","10","8","17","16"," - - - - ","6","14","15","21"," - - - - "," - - - - ","µg/m³"
"PM2.5","2022-01-03","9","29","15","10","9","5","16","18","22"," - - - - ","5","17","4"," - - - - "," - - - - "," - - - - ","µg/m³"
